@type	@id	name
relation	10322758	Amtrak Crescent
relation	10322759	Amtrak Cascades
relation	10322760	Amtrak Carolinian
relation	10322761	Amtrak Carl Sandburg/Illinois Zephyr
relation	10322762	Amtrak Cardinal
relation	10322763	Amtrak Blue Water
relation	10322764	Amtrak Auto Train
relation	10322765	CP Subdivision Adirondack
relation	10322898	Amtrak Empire Service: New York => Albany
relation	10322899	Amtrak Empire Service: New York => Albany
relation	10322900	Amtrak Empire Service: New York => Niagara Falls
relation	10322901	Amtrak Empire Service: Albany => New York
relation	10322902	Amtrak Empire Service: Albany => New York
relation	10322903	Amtrak Empire Service: Albany => New York
relation	10322904	Amtrak Empire Service: Niagara Falls => New York
relation	10322921	Amtrak Ethan Allen Express: New York => Rutland
relation	10336721	Portland Union Station
relation	10336722	Oregon City
relation	10336723	Albany
relation	10336724	Eugene-Springfield
relation	10336725	Chemult
relation	10340057	Bellingham Fairhaven
relation	10340058	Mount Vernon
relation	10340059	Stanwood
relation	10340060	Edmonds
relation	10340062	Olympia-Lacey
relation	10340063	Centralia
relation	10340064	Kelso
relation	10340065	Vancouver
relation	10344975	Ephrata
relation	10344976	Wenatchee
relation	10344977	Leavenworth
relation	10344978	Spokane
relation	10344980	Wishram
relation	10344981	Bingen-White Salmon
relation	10345243	Shelby
relation	10345244	Cut Bank
relation	10345245	Browning
relation	10345246	East Glacier Park
relation	10345247	Essex
relation	10345248	West Glacier
relation	10345249	Libby
relation	10345250	Sandpoint
relation	10345258	Havre
relation	10348872	Williston
relation	10348873	Wolf Point
relation	10348874	Glasgow
relation	10348875	Malta
relation	10348903	Grand Forks
relation	10348904	Devils Lake
relation	10348905	Rugby
relation	10348906	Minot
relation	10348907	Fargo
relation	10348908	Stanley
relation	10349301	Winona
relation	10349302	Red Wing
relation	10349303	Saint Cloud
relation	10349304	Staples
relation	10349305	Detroit Lakes
relation	10351854	Milwaukee
relation	10351855	Portage
relation	10351856	Wisconsin Dells
relation	10351857	La Crosse
relation	10351858	Tomah
relation	10351859	Columbus
relation	10352980	Altoona
relation	10354686	Jacksonville
relation	10354687	Lakeland
relation	10354849	Lorton (Auto Train)
relation	10354850	Sanford (Auto Train)
relation	10354988	Dover
relation	10354989	Wells
relation	10354990	Brunswick
relation	10355205	Newport News
relation	10355206	Ashland
relation	10355207	Charlottesville
relation	10355208	Sandusky
relation	10355209	South Bend
relation	10355266	Alton
relation	10355267	Carlinville
relation	10355369	Kalamazoo
relation	10355370	Hammond-Whiting
relation	10355371	Plano
relation	10355372	Kewanee
relation	10355373	Bloomington-Normal
relation	10355374	Quincy
relation	10355375	Washington
relation	10355376	Jefferson City
relation	10355377	Independence
relation	10355534	Meridian
relation	10355535	Hattiesburg
relation	10355536	Jackson
relation	10355997	Greensboro
relation	10355998	High Point
relation	10355999	Salisbury
relation	10356000	Gastonia
relation	10356001	Atlanta
relation	10356002	Thurmond
relation	10356003	Prince
relation	10356004	Alderson
relation	10356005	Ashland
relation	10356006	Indianapolis Union Station
relation	10356014	Selma
relation	10356015	Rocky Mount
relation	10356021	Florence
relation	10356071	Cary
relation	10356072	Raleigh
relation	10356073	Hamlet
relation	10356074	Wilson
relation	10358192	Kannapolis
relation	10358193	Burlington
relation	10358640	Lafayette
relation	10358641	Toledo
relation	10358642	Ann Arbor
relation	10358643	East Lansing
relation	10358992	Lewistown
relation	10358993	Durham
relation	10358994	Charlotte
relation	10363785	Schriever
relation	10363786	New Iberia
relation	10363787	Lafayette
relation	10363788	Lake Charles
relation	10363790	Beaumont
relation	10363791	Houston
relation	10363792	Walnut Ridge
relation	10363793	Arcadia Valley
relation	10364076	Marks
relation	10364162	Palatka
relation	10364163	DeLand
relation	10364164	Winter Haven
relation	10364165	Sebring
relation	10364166	Okeechobee
